pair,symbol_i,symbol_j,date,common_nav_date,aligned_observations,d,median60,z,half_life,adf_p,kpss_p,stability_ratio,expected_convergence_5d,assumed_rotation_cost,cost_method,net_expected_convergence_5d,signal_count,adjusted_win_rate_5d,median_realized_net_alpha_5d,p25_realized_net_alpha_5d,regime,pair_liquidity_score,pair_score_coverage,pair_score,rotate_in,rotate_out,signal,gates,adf_fdr_q
159632-513100,159632,513100,2026-09-07,2026-09-03,300,-0.02409034710312427,-0.023803049313286653,-0.054988161266366936,2.4822914102756135,0.018318367271093327,0.03154511796507442,0.75,0.000578167577225553,0.0015,ASSUMED_COST,-0.000921832422774447,5,0.5277777777777778,0.00831195503729393,0.007058938568908437,NORMAL,64.95098039215688,1.0,36.14223377637117,159632,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.03616911203644787
159659-513870,159659,513870,2026-09-07,2026-09-03,300,0.00235761841931266,-0.00015286225874006076,0.79894298781152,3.40529346980632,0.01006631857968403,0.042755029260348756,1.0,0.002620079227353567,0.0015,ASSUMED_COST,0.001120079227353567,8,0.5,-0.0005738480877028316,-0.002030187456190573,CAUTION,38.541666666666664,1.0,35.96517000638292,513870,159659,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02418763417717134
159696-513390,159696,513390,2026-09-07,2026-09-03,300,0.00791095297622274,0.011861907563451346,-0.9230110632780171,2.5304325826177623,0.0012106853891612809,0.01,1.0,0.0008337045227469614,0.0015,ASSUMED_COST,-0.0006662954772530386,5,0.5462962962962963,0.0028180900112826936,0.0016605986151441723,NORMAL,17.892156862745097,1.0,35.930679236625316,159696,513390,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.006611105807717648
159659-513100,159659,513100,2026-09-07,2026-09-03,300,-0.021057439454719787,-0.020366957016830355,-0.15498694576703997,2.4020219983966933,0.0003926540138546501,0.1,0.75,0.0006614123790822379,0.0015,ASSUMED_COST,-0.0008385876209177621,4,0.5166666666666667,0.005899705314704575,-0.00014555062615828444,NORMAL,46.04166666666667,1.0,35.61513702983638,159659,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004319194152401151
159659-513110,159659,513110,2026-09-07,2026-09-03,300,0.0034991956586725576,0.004216518020725264,-0.38721181514022474,1.556905903159585,0.0018186307360547184,0.01,1.0,6.333817467639707e-05,0.0015,ASSUMED_COST,-0.001436661825323603,4,0.5166666666666667,0.004113069742346544,0.0018590765080067364,NORMAL,46.04166666666667,1.0,35.604166666666664,513110,159659,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.008573544898543672
159513-513390,159513,513390,2026-09-07,2026-09-03,300,-0.0021133235289014923,-0.001289175628982675,-0.6450515730198791,1.5405168333237949,0.00024621467174401406,0.1,0.75,0.0014269261666903389,0.0015,ASSUMED_COST,-7.307383330966118e-05,3,0.5214285714285715,0.0020981014665769084,0.0016296011996895245,NORMAL,57.29166666666667,1.0,35.55059523809524,159513,513390,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.0036204747474848087
159513-513300,159513,513300,2026-09-07,2026-09-03,300,-0.004672055072633144,-0.005453032475820383,0.19029387877044415,3.191143402181157,0.006666518068466998,0.0700012949203092,1.0,0.0011853310260843378,0.0015,ASSUMED_COST,-0.00031466897391566225,5,0.49074074074074076,-0.00036685552407938896,-0.0007980518773091348,NORMAL,61.66666666666666,1.0,35.177737413940214,159513,513300,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.019999554205400994
159660-513100,159660,513100,2026-09-07,2026-09-03,300,-0.024276729014836212,-0.021642666253323208,-0.5439538419119544,4.561919806666269,0.03666425360738733,0.014282753285362368,0.75,0.0028362862751874635,0.0015,ASSUMED_COST,0.0013362862751874634,5,0.5092592592592593,0.0011497085320615898,-0.0022480758845728186,NORMAL,52.5,1.0,34.69729107189673,159660,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.06368001942335694
513100-513110,513100,513110,2026-09-07,2026-09-03,300,0.024556635113392344,0.02380853704648197,0.12806055532740526,2.632146770920044,0.014041852023424348,0.015122260316252403,0.5,0.0006530215839536495,0.0015,ASSUMED_COST,-0.0008469784160463505,5,0.5277777777777778,0.006643687792043553,0.0004526899429436195,NORMAL,62.708333333333336,1.0,34.480649869683276,513110,513100,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.029895555920838934
159660-513390,159660,513390,2026-09-07,2026-09-03,300,-0.000154186070086354,0.0013974855318141868,-1.3041280736864347,3.2306546327032746,0.0008163761758543206,0.1,1.0,0.0015042227617815768,0.0015,ASSUMED_COST,4.2227617815767445e-06,3,0.4928571428571429,-0.00277577420153846,-0.005583094286338073,NORMAL,52.5,1.0,34.02047912949919,159660,513390,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004898257055125924
513110-513870,513110,513870,2026-09-07,2026-09-03,300,-0.0011415772393598977,-0.004764467816882664,1.1242214624343667,3.2801706787576306,0.007481292039744311,0.1,0.75,0.0026578862741611074,0.0015,ASSUMED_COST,0.0011578862741611073,6,0.5,-0.00028927529097422114,-0.003587510940908477,NORMAL,38.541666666666664,1.0,34.016216389388596,513870,513110,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02027713124853934
159513-513870,159513,513870,2026-09-07,2026-09-03,300,-0.002820808599618904,-0.003969094236467456,0.43030439081270694,2.693624482912691,0.002303105221420582,0.1,1.0,4.9411226594393495e-05,0.0015,ASSUMED_COST,-0.0014505887734056065,7,0.4681818181818182,-0.0013274360030832142,-0.0023891184559138843,NORMAL,38.541666666666664,1.0,33.687136063025804,513870,159513,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.009622336901136045
159941-159501,159941,159501,2026-09-07,2026-09-03,300,-0.008305839727999309,-0.007992076427260145,-0.05052960498313126,2.9755756532938102,0.004037534804155408,0.01,0.75,0.002394221308337891,0.0015,ASSUMED_COST,0.000894221308337891,7,0.5106060606060606,0.0034206762404734316,-0.0027450249335589354,NORMAL,12.009803921568626,1.0,33.412346067122755,159941,159501,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.013445691746907169
159660-513300,159660,513300,2026-09-07,2026-09-03,300,-0.0027129176138180056,-0.0020436850671394988,-0.12943923429583473,3.7605983099782505,0.08206150517663618,0.02581324266436664,1.0,0.0014625643103268107,0.0015,ASSUMED_COST,-3.743568967318938e-05,6,0.56,0.004835156072357573,0.002177517369845451,NORMAL,52.5,1.0,32.80925211252719,159660,513300,NO TRADE,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.1203568742590664
513300-513870,513300,513870,2026-09-07,2026-09-03,300,0.0018512464730142397,0.00013804446121358505,0.38961209008283576,2.306356475538044,0.0007190998618616858,0.1,0.75,0.0014371108638937774,0.0015,ASSUMED_COST,-6.288913610622265e-05,3,0.5071428571428571,0.009817922704632278,0.0036629296062843392,NORMAL,38.541666666666664,1.0,32.77836392938697,513870,513300,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.004898257055125924
159513-159696,159513,159696,2026-09-07,2026-09-03,300,-0.010024276505124233,-0.013182490797983476,0.9291478742294702,3.4051914011246023,0.008699397498289263,0.01,1.0,0.0003031157098448683,0.0015,ASSUMED_COST,-0.0011968842901551317,7,0.553030303030303,0.005921043878212297,0.0012671151363165558,NORMAL,17.892156862745097,1.0,32.641817343959666,159513,159696,WATCH,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02208308595719582
159513-159632,159513,159632,2026-09-07,2026-09-03,300,-0.0021455193705270797,-0.000306963861510811,-1.2520640985439007,5.307151007931095,0.007469564789364888,0.1,0.75,0.0019725964704329154,0.0015,ASSUMED_COST,0.0004725964704329153,5,0.49074074074074076,-0.002490708895847181,-0.004419973180109281,NORMAL,61.66666666666666,1.0,32.267303886821374,159513,159632,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02027713124853934
159513-159659,159513,159659,2026-09-07,2026-09-03,300,-0.005178427018931564,-0.0038673337529921206,-0.47954473494572086,4.722912878838066,0.010261420560012084,0.02460727943742916,0.75,0.0021003973823357012,0.0015,ASSUMED_COST,0.0006003973823357012,7,0.5318181818181819,0.004276310376472749,0.0013671445181337462,CAUTION,46.04166666666667,1.0,31.54680799343968,159513,159659,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02418763417717134
159941-513300,159941,513300,2026-09-07,2026-09-03,300,0.01790724718802761,0.014177732301240635,0.9123248399699251,3.526740167003611,0.16458453743570006,0.01,0.25,0.003927224970271979,0.0015,ASSUMED_COST,0.002427224970271979,6,0.5,0.0010282266345271753,-0.0016043805840452716,CAUTION,76.7156862745098,1.0,31.04838920495105,513300,159941,WATCH,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": false, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": false, ""z"": false}",0.21725158941512407
159513-159660,159513,159660,2026-09-07,2026-09-03,300,-0.0019591374588151383,-0.002673494344088402,0.36044035706458444,5.779889102866062,0.012697956908698295,0.1,0.75,0.00026046856159136957,0.0015,ASSUMED_COST,-0.0012395314384086305,4,0.5166666666666667,0.003957398219085308,0.001156720395045914,NORMAL,52.5,1.0,30.275138621417426,159660,159513,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02793550519913625
159659-513390,159659,513390,2026-09-07,2026-09-03,300,0.0030651034900300717,0.0029842904525755262,0.0363022927108382,2.4773189968114515,0.07376323694221533,0.01,0.75,0.0018275634674208168,0.0015,ASSUMED_COST,0.0003275634674208168,3,0.5214285714285715,0.011830308314973616,0.0076800393394864126,CAUTION,46.04166666666667,1.0,30.011370382540964,513390,159659,NO TRADE,"{""adf_fdr"": false, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.11064485541332299
159660-513870,159660,513870,2026-09-07,2026-09-03,300,-0.0008616711408037658,-0.00112449333480006,0.13210537258328628,5.748395856476537,0.007680731533537627,0.1,0.75,0.00024991670662845235,0.0015,ASSUMED_COST,-0.0012500832933715477,6,0.54,0.005422014210121286,0.0036463121611315387,NORMAL,38.541666666666664,1.0,29.958671846071,159660,513870,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.02027713124853934
159660-513110,159660,513110,2026-09-07,2026-09-03,300,0.0002799060985561319,0.0027677591538219116,-1.316724267034569,6.432001285707078,0.039936023008330476,0.1,0.75,0.0019319160340026983,0.0015,ASSUMED_COST,0.0004319160340026983,3,0.5071428571428571,0.0036772054160137415,0.0016051023114934683,NORMAL,52.5,1.0,29.916966320847965,159660,513110,NO TRADE,"{""adf_fdr"": true, ""aligned_history"": true, ""execution_readiness"": true, ""expected_edge"": false, ""half_life"": true, ""historical_win_rate"": false, ""model_readiness"": true, ""regime"": true, ""stationarity"": true, ""z"": false}",0.06642892436699278
