run_id,resource,symbol,requested_start,requested_end,started_at_utc,finished_at_utc,duration_seconds,status,row_count,min_date,max_date,sources,error,source_priority,ingested_at_utc
20260908T015210654157Z,nav,159660,2026-08-21,2026-09-08,2026-09-08T01:52:53+00:00,2026-09-08T01:52:55+00:00,1.78,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:55+00:00
20260908T015210654157Z,nav,159696,2026-08-21,2026-09-08,2026-09-08T01:52:59+00:00,2026-09-08T01:53:01+00:00,1.879,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:01+00:00
20260908T015210654157Z,nav,159941,2026-08-21,2026-09-08,2026-09-08T01:52:13+00:00,2026-09-08T01:52:16+00:00,2.741,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:52:16+00:00
20260908T015210654157Z,nav,513100,2026-08-21,2026-09-08,2026-09-08T01:53:04+00:00,2026-09-08T01:53:06+00:00,2.515,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:06+00:00
20260908T015210654157Z,nav,513110,2026-08-21,2026-09-08,2026-09-08T01:53:09+00:00,2026-09-08T01:53:11+00:00,1.872,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:11+00:00
20260908T015210654157Z,nav,513300,2026-08-21,2026-09-08,2026-09-08T01:53:14+00:00,2026-09-08T01:53:15+00:00,1.794,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:15+00:00
20260908T015210654157Z,nav,513390,2026-08-21,2026-09-08,2026-09-08T01:53:18+00:00,2026-09-08T01:53:19+00:00,1.879,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:19+00:00
20260908T015210654157Z,nav,513870,2026-08-21,2026-09-08,2026-09-08T01:53:24+00:00,2026-09-08T01:53:27+00:00,2.449,SUCCESS,11,2026-08-21,2026-09-04,akshare:eastmoney:fund_etf_fund_info_em,,0,2026-09-08T01:53:27+00:00
20260908T015210654157Z,pcf,159501,2026-09-08,2026-09-08,2026-09-08T01:52:35+00:00,2026-09-08T01:52:36+00:00,1.873,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:36+00:00
20260908T015210654157Z,pcf,159513,2026-09-08,2026-09-08,2026-09-08T01:52:39+00:00,2026-09-08T01:52:43+00:00,3.307,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:43+00:00
20260908T015210654157Z,pcf,159632,2026-09-08,2026-09-08,2026-09-08T01:52:45+00:00,2026-09-08T01:52:47+00:00,2.27,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:47+00:00
20260908T015210654157Z,pcf,159659,2026-09-08,2026-09-08,2026-09-08T01:52:50+00:00,2026-09-08T01:52:52+00:00,2.251,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:52+00:00
20260908T015210654157Z,pcf,159660,2026-09-08,2026-09-08,2026-09-08T01:52:55+00:00,2026-09-08T01:52:57+00:00,1.822,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:57+00:00
20260908T015210654157Z,pcf,159696,2026-09-08,2026-09-08,2026-09-08T01:53:01+00:00,2026-09-08T01:53:03+00:00,2.15,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:53:03+00:00
20260908T015210654157Z,pcf,159941,2026-09-08,2026-09-08,2026-09-08T01:52:16+00:00,2026-09-08T01:52:29+00:00,13.643,SUCCESS,1,2026-09-08,2026-09-08,szse:official_pcf,,0,2026-09-08T01:52:29+00:00
20260908T015210654157Z,pcf,513100,2026-09-08,2026-09-08,2026-09-08T01:53:06+00:00,2026-09-08T01:53:08+00:00,1.961,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:53:08+00:00
20260908T015210654157Z,pcf,513110,2026-09-08,2026-09-08,2026-09-08T01:53:11+00:00,2026-09-08T01:53:12+00:00,1.398,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:53:12+00:00
20260908T015210654157Z,pcf,513300,2026-09-08,2026-09-08,2026-09-08T01:53:15+00:00,2026-09-08T01:53:17+00:00,1.276,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:53:17+00:00
20260908T015210654157Z,pcf,513390,2026-09-08,2026-09-08,2026-09-08T01:53:19+00:00,2026-09-08T01:53:21+00:00,1.4,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:53:21+00:00
20260908T015210654157Z,pcf,513870,2026-09-08,2026-09-08,2026-09-08T01:53:27+00:00,2026-09-08T01:53:28+00:00,1.273,SUCCESS,1,2026-09-08,2026-09-08,sse:official_pcf,,0,2026-09-08T01:53:28+00:00
20260908T015210654157Z,prices,159501,2026-08-24,2026-09-08,2026-09-08T01:52:29+00:00,2026-09-08T01:52:32+00:00,2.928,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:32+00:00
20260908T015210654157Z,prices,159513,2026-08-24,2026-09-08,2026-09-08T01:52:37+00:00,2026-09-08T01:52:37+00:00,0.88,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:37+00:00
20260908T015210654157Z,prices,159632,2026-08-24,2026-09-08,2026-09-08T01:52:43+00:00,2026-09-08T01:52:43+00:00,0.821,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:43+00:00
20260908T015210654157Z,prices,159659,2026-08-24,2026-09-08,2026-09-08T01:52:47+00:00,2026-09-08T01:52:48+00:00,0.859,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:48+00:00
20260908T015210654157Z,prices,159660,2026-08-24,2026-09-08,2026-09-08T01:52:52+00:00,2026-09-08T01:52:53+00:00,0.876,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:53+00:00
20260908T015210654157Z,prices,159696,2026-08-24,2026-09-08,2026-09-08T01:52:57+00:00,2026-09-08T01:52:59+00:00,1.88,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:59+00:00
20260908T015210654157Z,prices,159941,2026-08-24,2026-09-08,2026-09-08T01:52:10+00:00,2026-09-08T01:52:13+00:00,2.656,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:52:13+00:00
20260908T015210654157Z,prices,513100,2026-08-24,2026-09-08,2026-09-08T01:53:03+00:00,2026-09-08T01:53:04+00:00,0.818,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:53:04+00:00
20260908T015210654157Z,prices,513110,2026-08-24,2026-09-08,2026-09-08T01:53:08+00:00,2026-09-08T01:53:09+00:00,0.826,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:53:09+00:00
20260908T015210654157Z,prices,513300,2026-08-24,2026-09-08,2026-09-08T01:53:12+00:00,2026-09-08T01:53:14+00:00,1.321,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:53:14+00:00
20260908T015210654157Z,prices,513390,2026-08-24,2026-09-08,2026-09-08T01:53:17+00:00,2026-09-08T01:53:18+00:00,0.876,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:53:18+00:00
20260908T015210654157Z,prices,513870,2026-08-24,2026-09-08,2026-09-08T01:53:21+00:00,2026-09-08T01:53:24+00:00,3.557,SUCCESS,11,2026-08-24,2026-09-07,baostock,,0,2026-09-08T01:53:24+00:00
20260908T015210654157Z,snapshot,*,2026-09-08,2026-09-08,2026-09-08T01:53:28+00:00,2026-09-08T01:54:04+00:00,35.699,SUCCESS,12,2026-09-08,2026-09-08,akshare:eastmoney:fund_etf_spot_em,,0,2026-09-08T01:54:04+00:00
